Dallas,Cowboys,Dal,NFC,East,DAL_logo-50x50.gif
New York,Giants,NYG,NFC,East,NYG_logo-50x50.gif
Philadelphia,Eagles,Phi,NFC,East,PHI_logo-50x50.gif
Washington,Redskins,Wsh,NFC,East,WAS_logo-50x50.gif
Buffalo,Bills,Buf,AFC,East,BUF_logo-50x50.gif
Miami,Dolphins,Mia,AFC,East,MIA_logo-50x50.gif
New England,Patriots,NE,AFC,East,NE_logo-50x50.gif
New York,Jets,NYJ,AFC,East,NYJ_logo-50x50.gif
Arizona,Cardinals,Ari,NFC,West,ARI_logo-50x50.gif
San Francisco,49ers,SF,NFC,West,SF_logo-50x50.gif
Seattle,Seahawks,Sea,NFC,West,SEA_logo-50x50.gif
St. Louis,Rams,StL,NFC,West,STL_logo-50x50.gif
Denver,Broncos,Den,AFC,West,DEN_logo-50x50.gif
Kansas City,Chiefs,KC,AFC,West,KC_logo-50x50.gif
Oakland,Raiders,Oak,AFC,West,OAK_logo-50x50.gif
San Diego,Chargers,SD,AFC,West,SD_logo-50x50.gif
Chicago,Bears,Chi,NFC,North,CHI_logo-50x50.gif
Detroit,Lions,Det,NFC,North,DET_logo-50x50.gif
Green Bay,Packers,GB,NFC,North,GB_logo-50x50.gif
Minnesota,Vikings,Min,NFC,North,MIN_logo-50x50.gif
Baltimore,Ravens,Bal,AFC,North,BAL_logo-50x50.gif
Cincinnati,Bengals,Cin,AFC,North,CIN_logo-50x50.gif
Cleveland,Browns,Cle,AFC,North,CLE_logo-50x50.gif
Pittsburgh,Steelers,Pit,AFC,North,PIT_logo-50x50.gif
Atlanta,Falcons,Atl,NFC,South,ATL_logo-50x50.gif
Carolina,Panthers,Car,NFC,South,CAR_logo-50x50.gif
New Orleans,Saints,NO,NFC,South,NO_logo-50x50.gif
Tampa Bay,Buccaneers,TB,NFC,South,TB_logo-50x50.gif
Houston,Texans,Hou,AFC,South,HOU_logo-50x50.gif
Indianapolis,Colts,Ind,AFC,South,IND_logo-50x50.gif
Jacksonville,Jaguars,Jac,AFC,South,JAC_logo-50x50.gif
Tennessee,Titans,Ten,AFC,South,TEN_logo-50x50.gif